country_region_code  ,country_region ,sub_region_1 ,sub_region_2 ,Date ,retail_and_recreation_percent_change_from_baseline ,grocery_and_pharmacy_percent_change_from_baseline ,parks_percent_change_from_baseline ,transit_stations_percent_change_from_baseline ,workplaces_percent_change_from_baseline ,residential_percent_change_from_baseline
US ,United States ,New York , ,2020-05.03 ,-50 ,-16 ,71 ,-57 ,-36 ,10
US ,United States ,New York , ,2020-05.04 ,-51 ,-17 ,-11 ,-64 ,-55 ,23
US ,United States ,New York , ,2020-05.05 ,-49 ,-9 ,4 ,-63 ,-55 ,22
US ,United States ,New York , ,2020-05.06 ,-54 ,-16 ,-30 ,-65 ,-55 ,24
US ,United States ,New York , ,2020-05.07 ,-50 ,-8 ,16 ,-62 ,-55 ,22
US ,United States ,New York , ,2020-05.08 ,-55 ,-14 ,-40 ,-65 ,-54 ,25
US ,United States ,New York , ,2020-05.09 ,-53 ,-6 ,-29 ,-59 ,-37 ,15
US ,United States ,New York , ,2020-05.10 ,-50 ,-12 ,22 ,-56 ,-33 ,10
US ,United States ,New York , ,2020-05.11 ,-55 ,-23 ,-31 ,-66 ,-54 ,23
US ,United States ,New York , ,2020-05.12 ,-50 ,-12 ,0 ,-62 ,-53 ,22
US ,United States ,New York , ,2020-05.13 ,-48 ,-10 ,18 ,-61 ,-53 ,22
US ,United States ,New York , ,2020-05.14 ,-49 ,-11 ,15 ,-61 ,-53 ,22
US ,United States ,New York , ,2020-05.15 ,-50 ,-12 ,12 ,-59 ,-52 ,23
US ,United States ,New York , ,2020-05.16 ,-47 ,-9 ,73 ,-52 ,-33 ,11
US ,United States ,New York , ,2020-05.17 ,-47 ,-15 ,54 ,-56 ,-31 ,10
US ,United States ,New York , ,2020-05.18 ,-47 ,-14 ,-3 ,-61 ,-51 ,21
US ,United States ,New York , ,2020-05.19 ,-44 ,-9 ,13 ,-60 ,-51 ,20
US ,United States ,New York , ,2020-05.20 ,-43 ,-6 ,27 ,-59 ,-51 ,20
US ,United States ,New York , ,2020-05.21 ,-42 ,-4 ,39 ,-58 ,-51 ,20
US ,United States ,New York , ,2020-05.22 ,-45 ,-6 ,19 ,-57 ,-50 ,21
US ,United States ,New York , ,2020-05.23 ,-50 ,-12 ,0 ,-58 ,-32 ,12
US ,United States ,New York , ,2020-05.24 ,-43 ,-7 ,93 ,-52 ,-29 ,7
US ,United States ,New York , ,2020-05.25 ,-49 ,-15 ,70 ,-67 ,-73 ,23
